Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,32,2020-08-08,63687,57933,790,11527,1794,2434,777,2590,729,914,878,12796,3032,7828,7154,,,,,,,,,,,,,,,
United States,2020,33,2020-08-15,63584,57843,740,11696,1889,2523,759,2655,798,970,859,12819,2947,7219,6527,,,,,,,,,,,,,,,
United States,2020,34,2020-08-22,62498,56709,740,11510,1931,2564,698,2640,783,968,835,12732,2929,6350,5728,,,,,,,,,,,,,,,
United States,2020,35,2020-08-29,61022,55410,727,11572,1877,2427,681,2559,745,984,830,12446,2982,5706,5117,,,,,,,,,,,,,,,
United States,2020,36,2020-09-05,60154,54338,708,11367,1832,2502,734,2544,798,926,807,12470,2862,4988,4409,,,,,,,,,,,,,,,
United States,2020,37,2020-09-12,59556,54024,700,11456,1887,2326,682,2556,746,926,853,12311,3043,4600,4062,,,,,,,,,,,,,,,
United States,2020,38,2020-09-19,59623,54207,751,11617,1850,2370,718,2514,782,922,869,12638,2945,4244,3739,,,,,,,,,,,,,,,
United States,2020,39,2020-09-26,60517,55168,765,11854,1833,2492,727,2668,790,925,859,12667,3070,4269,3764,,,,,,,,,,,,,,,
United States,2020,40,2020-10-03,59596,54133,722,11391,1884,2409,763,2571,717,940,948,12577,2869,4205,3664,,,,,,,,,,,,,,,
United States,2020,41,2020-10-10,61441,55862,762,11763,1886,2506,719,2601,796,957,970,12704,3102,4762,4232,,,,,,,,,,,,,,,
United States,2020,42,2020-10-17,60055,54914,770,11227,1808,2516,725,2572,812,1014,970,12416,3003,5113,4522,,,,,,,,,,,,,,,
United States,2020,43,2020-10-24,61558,56567,729,11576,1808,2552,767,2667,785,934,985,12695,3037,5896,5246,,,,,,,,,,,,,,,
United States,2020,44,2020-10-31,62812,57811,695,11432,1908,2439,796,2544,821,923,1004,12989,3070,6902,6153,,,,,,,,,,,,,,,
United States,2020,45,2020-11-07,66563,61218,759,11646,1925,2620,799,2851,803,1018,1199,13415,3113,8583,7697,,,,,,,,,,,,,,,
United States,2020,46,2020-11-14,67789,62683,780,11543,1990,2696,841,2707,847,1016,1129,13219,3130,10443,9411,,,,,,,,,,,,,,,
United States,2020,47,2020-11-21,70231,65370,803,11420,2061,2611,826,2771,846,1008,1285,13258,3117,13125,11882,,,,,,,,,,,,,,,
United States,2020,48,2020-11-28,71755,66976,756,11140,2097,2718,802,2688,837,1021,1349,13165,3057,15311,13878,,,,,,,,,,,,,,,
United States,2020,49,2020-12-05,75257,70557,823,11025,2111,2771,897,2751,885,999,1471,13824,3206,18065,16435,,,,,,,,,,,,,,,
United States,2020,50,2020-12-12,79255,74576,788,11507,2182,2855,918,2920,948,1053,1714,13913,3350,20190,18426,,,,,,,,,,,,,,,
United States,2020,51,2020-12-19,79870,75411,792,11396,2228,2945,925,2821,878,974,1759,14091,3326,21440,19636,,,,,,,,,,,,,,,
United States,2020,52,2020-12-26,80887,76334,829,11250,2211,2890,936,2735,890,1070,1897,14048,3258,22362,20463,,,,,,,,,,,,,,,
United States,2020,53,2021-01-02,82995,78404,848,11184,2282,2946,984,2904,871,1057,2120,14370,3333,23575,21604,,,,,,,,,,,,,,,
United States,2021,1,2021-01-09,82261,78108,813,10774,2198,2822,978,2795,889,1099,2386,13987,3201,24482,22595,,,,,,,,,,,,,,,
United States,2021,2,2021-01-16,81662,77737,764,11221,2229,2815,953,2727,904,1147,2585,13698,3325,23881,21881,,,,,,,,,,,,,,,
United States,2021,3,2021-01-23,77504,73826,762,10879,1961,2743,884,2608,845,1102,2613,13274,3229,21715,19886,,,,,,,,,,,,,,,
United States,2021,4,2021-01-30,73122,69579,724,10937,1932,2479,863,2567,886,1062,2683,12813,3080,18638,16918,,,,,,,,,,,,,,,
United States,2021,5,2021-02-06,69722,66332,737,10734,1805,2393,782,2635,862,1042,3050,12784,3060,15411,13823,,,,,,,,,,,,,,,
United States,2021,6,2021-02-13,63465,60542,730,10458,1740,2212,764,2353,817,990,3113,11972,3034,11854,10544,,,,,,,,,,,,,,,
United States,2021,7,2021-02-20,58990,56491,692,9993,1806,2198,742,2333,750,902,3166,11709,2758,9063,8003,,,,,,,,,,,,,,,
United States,2021,8,2021-02-27,50371,48447,630,8984,1398,2044,590,2063,679,818,3057,10039,2477,6573,5761,,,,,,,,,,,,,,,
United States,2021,9,2021-03-06,39468,38313,465,7126,1110,1627,514,1692,519,679,2927,8034,2028,4316,3806,,,,,,,,,,,,,,,
United States,2021,10,2021-03-13,32722,31834,406,6306,904,1428,412,1496,477,521,2383,6802,1761,3019,2612,,,,,,,,,,,,,,,
Alabama,2020,1,2020-01-04,1081,1008,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,286,70,0,0,,,,,,,,,,,,,,,
Alabama,2020,5,2020-02-01,1026,951,15,157,16,58,31,76,17,20,24,265,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,26,255,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2020-02-29,1163,1092,21,212,28,62,31,88,19,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,10,2020-03-07,1055,951,18,144,25,65,34,60,24,23,21,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,2020-03-28,1073,990,15,188,23,67,26,75,24,15,22,244,69,23,20,,,,,,,,,,,,,,,
Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,258,68,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,2020-04-11,1135,1054,25,166,31,63,18,61,20,17,29,266,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,2020-04-18,1148,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
Alabama,2020,17,2020-04-25,1138,1038,20,200,28,55,25,53,12,17,13,265,63,83,77,,,,,,,,,,,,,,,
Alabama,2020,18,2020-05-02,1147,1049,17,197,22,57,26,67,19,24,11,272,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,2020-05-09,1170,1083,17,201,28,45,12,58,18,15,22,304,53,116,105,,,,,,,,,,,,,,,
Alabama,2020,20,2020-05-16,1148,1050,19,203,29,47,15,71,17,21,23,260,49,94,88,,,,,,,,,,,,,,,
Alabama,2020,21,2020-05-23,1152,1054,22,194,22,62,18,53,16,21,24,281,54,79,76,,,,,,,,,,,,,,,
Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,242,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,17,62,19,15,15,290,55,90,85,,,,,,,,,,,,,,,
Alabama,2020,24,2020-06-13,1137,1030,14,176,23,53,11,65,17,24,19,279,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,2020-06-20,1089,1006,29,198,22,48,12,62,16,17,25,256,54,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,19,267,67,102,94,,,,,,,,,,,,,,,
Alabama,2020,27,2020-07-04,1200,1109,14,221,30,59,13,60,,18,25,297,49,122,116,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,2020-07-11,1263,1175,17,217,31,63,12,64,14,19,23,303,72,134,121,,,,,,,,,,,,,,,
Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,25,275,66,191,171,,,,,,,,,,,,,,,
Alabama,2020,30,2020-07-25,1331,1254,21,212,28,65,16,69,10,20,23,285,78,249,239,,,,,,,,,,,,,,,
Alabama,2020,31,2020-08-01,1364,1268,15,198,23,56,25,74,21,20,15,313,71,261,236,,,,,,,,,,,,,,,
Alabama,2020,32,2020-08-08,1376,1286,15,177,32,40,20,76,14,17,29,290,70,262,251,,,,,,,,,,,,,,,
Alabama,2020,33,2020-08-15,1303,1205,,166,26,60,20,68,21,15,25,291,73,229,214,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,2020-08-22,1301,1219,16,193,22,55,17,58,13,21,26,293,76,208,196,,,,,,,,,,,,,,,
Alabama,2020,35,2020-08-29,1216,1129,19,192,24,55,17,62,19,20,22,250,56,183,173,,,,,,,,,,,,,,,
Alabama,2020,36,2020-09-05,1213,1129,22,211,24,61,14,65,12,15,12,259,60,154,141,,,,,,,,,,,,,,,
Alabama,2020,37,2020-09-12,1232,1149,17,198,28,66,12,59,19,23,24,295,49,137,129,,,,,,,,,,,,,,,
Alabama,2020,38,2020-09-19,1197,1129,18,226,20,57,17,69,22,20,16,255,61,137,133,,,,,,,,,,,,,,,
Alabama,2020,39,2020-09-26,1181,1107,21,204,33,65,21,62,13,15,25,260,58,104,99,,,,,,,,,,,,,,,
Alabama,2020,40,2020-10-03,1101,1009,14,181,28,47,20,55,11,20,10,260,47,108,98,,,,,,,,,,,,,,,
Alabama,2020,41,2020-10-10,1201,1121,15,188,27,58,18,62,21,21,24,303,62,135,125,,,,,,,,,,,,,,,
Alabama,2020,42,2020-10-17,1187,1116,20,198,28,60,12,59,19,21,24,259,69,125,111,,,,,,,,,,,,,,,
Alabama,2020,43,2020-10-24,1140,1057,18,200,16,55,20,54,16,19,17,277,47,117,111,,,,,,,,,,,,,,,
Alabama,2020,44,2020-10-31,1164,1090,21,187,23,62,23,47,23,12,23,276,59,131,119,,,,,,,,,,,,,,,
Alabama,2020,45,2020-11-07,1267,1178,15,214,27,54,14,53,19,23,23,296,65,149,139,,,,,,,,,,,,,,,
Alabama,2020,46,2020-11-14,1268,1190,17,209,26,64,13,62,19,24,27,291,58,171,161,,,,,,,,,,,,,,,
Alabama,2020,47,2020-11-21,1268,1172,12,194,27,69,18,57,13,27,26,265,61,163,151,,,,,,,,,,,,,,,
Alabama,2020,48,2020-11-28,1325,1240,24,206,26,57,17,64,14,27,29,290,55,201,185,,,,,,,,,,,,,,,
Alabama,2020,49,2020-12-05,1345,1254,31,177,32,63,14,66,30,14,30,296,65,243,233,,,,,,,,,,,,,,,
Alabama,2020,50,2020-12-12,1592,1508,21,228,46,82,21,55,23,24,30,299,72,371,356,,,,,,,,,,,,,,,
Alabama,2020,51,2020-12-19,1572,1480,13,196,30,71,29,69,16,26,37,306,71,384,357,,,,,,,,,,,,,,,
Alabama,2020,52,2020-12-26,1613,1546,23,195,46,74,16,66,24,25,28,327,59,446,419,,,,,,,,,,,,,,,
Alabama,2020,53,2021-01-02,1787,1701,23,199,35,79,21,69,26,26,56,320,77,499,472,,,,,,,,,,,,,,,
Alabama,2021,1,2021-01-09,1766,1685,21,222,34,70,21,78,27,25,49,330,61,528,510,,,,,,,,,,,,,,,
Alabama,2021,2,2021-01-16,1776,1706,16,211,44,65,24,61,21,25,43,332,63,578,554,,,,,,,,,,,,,,,
Alabama,2021,3,2021-01-23,1734,1650,17,189,35,63,19,62,28,32,44,327,64,550,522,,,,,,,,,,,,,,,
Alabama,2021,4,2021-01-30,1581,1528,20,202,33,63,19,72,23,22,36,305,61,472,444,,,,,,,,,,,,,,,
Alabama,2021,5,2021-02-06,1443,1364,22,207,22,64,22,67,21,20,42,282,59,333,320,,,,,,,,,,,,,,,
Alabama,2021,6,2021-02-13,1308,1245,19,182,26,64,13,62,24,21,29,295,72,244,230,,,,,,,,,,,,,,,
Alabama,2021,7,2021-02-20,1198,1154,28,174,32,60,20,40,25,18,34,289,55,193,175,,,,,,,,,,,,,,,
Alabama,2021,8,2021-02-27,1033,986,15,149,15,49,17,52,12,12,30,258,62,139,124,,,,,,,,,,,,,,,
Alabama,2021,9,2021-03-06,766,740,16,134,14,35,18,30,22,21,28,177,39,73,65,,,,,,,,,,,,,,,
Alabama,2021,10,2021-03-13,617,593,,92,12,31,13,36,,15,21,139,27,50,45,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Alaska,2020,1,2020-01-04,89,71,,16,,,0,,0,,0,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,2,2020-01-11,105,93,,22,,,0,,,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,3,2020-01-18,99,83,,21,,,0,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,4,2020-01-25,97,82,,21,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,5,2020-02-01,85,74,,17,,,,,,0,,20,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,6,2020-02-08,92,75,0,15,,,,,,,,22,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2020-02-15,89,74,,20,,,0,,,,0,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2020-02-22,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2020-02-29,84,76,,18,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,2020-03-07,79,68,,20,0,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,2020-03-14,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,2020-03-21,69,56,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,2020-03-28,85,74,,16,,,,,,,0,15,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,2020-04-04,98,84,,21,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,2020-04-11,84,71,,15,,,,,,,,20,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,2020-04-18,80,71,0,17,,,,,0,,0,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,2020-04-25,61,55,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,2020-05-02,87,78,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,2020-05-09,89,77,,20,,,,,,0,0,13,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Alaska,2020,20,2020-05-16,83,68,0,18,,0,,,0,,,20,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,21,2020-05-23,82,68,0,19,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2020,22,2020-05-30,97,82,,23,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,23,2020-06-06,79,66,0,16,,,,,,0,,19,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,24,2020-06-13,88,71,,19,,,,,,0,0,16,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,25,2020-06-20,92,74,0,28,0,,,,0,,,15,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,26,2020-06-27,89,66,0,16,,,,,,0,,15,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,27,2020-07-04,84,64,,16,,,0,,0,,,17,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,28,2020-07-11,101,83,,20,,,0,,0,,,19,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,29,2020-07-18,89,72,0,20,,,0,,0,,,12,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,30,2020-07-25,92,75,0,20,,,,,0,,,18,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
